Up, Down, Left, Right
30.08,33.29,30.08,33.29
33.29,36.85,30.08,36.85
36.85,40.79,33.29,40.78
40.78,45.14,36.85,45.11
45.11,49.94,40.78,49.84
49.84,55.19,45.11,54.85
52.19,60.76,49.84,47.03
49.84,55.19,54.85,45.11
45.11,49.94,49.84,40.78
40.78,45.14,45.11,36.85
36.85,40.79,40.78,33.29
33.29,36.85,36.85,30.08
30.08,33.29,33.29,30.08
30.08,36.85,33.29,36.85
33.29,40.79,33.29,40.79
36.85,45.15,36.85,45.14
40.78,49.97,40.79,49.94
45.11,55.28,45.14,55.19
49.84,61.11,49.94,60.76
54.63,67.29,55.04,55.10
49.84,61.11,60.76,49.94
45.11,55.28,55.19,45.14
40.78,49.97,49.94,40.79
36.85,45.15,45.14,36.85
33.29,40.79,40.79,33.29
30.08,36.85,36.85,33.29
33.29,40.78,36.85,40.79
36.85,45.14,36.85,45.15
40.79,49.97,40.79,49.97
45.14,55.30,45.15,55.28
49.94,61.18,49.97,61.11
55.19,67.63,55.28,67.29
60.76,74.49,61.11,61.11
55.19,67.63,67.29,55.28
49.94,61.18,61.11,49.97
45.14,55.30,55.28,45.15
40.79,49.97,49.97,40.79
36.85,45.14,45.15,36.85
33.29,40.78,40.79,36.85
36.85,45.11,40.78,45.14
40.79,49.94,40.78,49.97
45.15,55.28,45.14,55.30
49.97,61.18,49.97,61.18
55.28,67.67,55.30,67.63
61.11,74.79,61.18,74.49
67.29,82.40,67.63,67.63
61.11,74.79,74.49,61.18
55.28,67.67,67.63,55.30
49.97,61.18,61.18,49.97
45.15,55.28,55.30,45.14
40.79,49.94,49.97,40.78
36.85,45.11,45.14,40.78
40.78,49.84,45.11,49.94
45.14,55.19,45.11,55.28
49.97,61.11,49.94,61.18
55.30,67.63,55.28,67.67
61.18,74.79,61.18,74.79
67.63,82.61,67.67,82.40
74.49,91.00,74.79,74.79
67.63,82.61,82.40,67.67
61.18,74.79,74.79,61.18
55.30,67.63,67.67,55.28
49.97,61.11,61.18,49.94
45.14,55.19,55.28,45.11
40.78,49.84,49.94,45.11
45.11,54.85,49.84,55.19
49.94,60.76,49.84,61.11
55.28,67.29,55.19,67.63
61.18,74.49,61.11,74.79
67.67,82.40,67.63,82.61
74.79,91.00,74.79,91.00
82.40,100.00,82.61,82.61
74.79,91.00,91.00,74.79
67.67,82.40,82.61,67.63
61.18,74.49,74.79,61.11
55.28,67.29,67.63,55.19
49.94,60.76,61.11,49.84
45.11,54.85,55.19,49.84
49.84,46.63,49.47,60.76
55.19,55.19,54.44,67.29
61.11,61.11,60.76,74.49
67.63,67.63,67.29,82.40
74.79,74.79,74.49,91.00
82.61,82.61,82.40,100.00
0.00,0.00,0.00,0.00
82.61,82.61,100.00,82.40
74.79,74.79,91.00,74.49
67.63,67.63,82.40,67.29
61.11,61.11,74.49,60.76
55.19,55.19,67.29,54.85
49.84,49.82,60.76,54.85
54.85,45.11,49.84,55.19
60.76,49.94,49.84,61.11
67.29,55.28,55.19,67.63
74.49,61.18,61.11,74.79
82.40,67.67,67.63,82.61
91.00,74.79,74.79,91.00
100.00,82.40,82.61,82.61
91.00,74.79,91.00,74.79
82.40,67.67,82.61,67.63
74.49,61.18,74.79,61.11
67.29,55.28,67.63,55.19
60.76,49.94,61.11,49.84
54.85,45.11,55.19,49.84
49.84,40.78,45.11,49.94
55.19,45.14,45.11,55.28
61.11,49.97,49.94,61.18
67.63,55.30,55.28,67.67
74.79,61.18,61.18,74.79
82.61,67.63,67.67,82.40
91.00,74.49,74.79,74.79
82.61,67.63,82.40,67.67
74.79,61.18,74.79,61.18
67.63,55.30,67.67,55.28
61.11,49.97,61.18,49.94
55.19,45.14,55.28,45.11
49.84,40.78,49.94,45.11
45.11,36.85,40.78,45.14
49.94,40.79,40.78,49.97
55.28,45.15,45.14,55.30
61.18,49.97,49.97,61.18
67.67,55.28,55.30,67.63
74.79,61.11,61.18,74.49
82.40,67.29,67.63,67.63
74.79,61.11,74.49,61.18
67.67,55.28,67.63,55.30
61.18,49.97,61.18,49.97
55.28,45.15,55.30,45.14
49.94,40.79,49.97,40.78
45.11,36.85,45.14,40.78
40.78,33.29,36.85,40.79
45.14,36.85,36.85,45.15
49.97,40.79,40.79,49.97
55.30,45.14,45.15,55.28
61.18,49.94,49.97,61.11
67.63,55.19,55.28,67.29
74.49,60.76,61.11,61.11
67.63,55.19,67.29,55.28
61.18,49.94,61.11,49.97
55.30,45.14,55.28,45.15
49.97,40.79,49.97,40.79
45.14,36.85,45.15,36.85
40.78,33.29,40.79,36.85
36.85,30.08,33.29,36.85
40.79,33.29,33.29,40.79
45.15,36.85,36.85,45.14
49.97,40.78,40.79,49.94
55.28,45.11,45.14,55.19
61.11,49.84,49.94,60.76
67.29,54.78,55.16,55.06
61.11,49.84,60.76,49.94
55.28,45.11,55.19,45.14
49.97,40.78,49.94,40.79
45.15,36.85,45.14,36.85
40.79,33.29,40.79,33.29
36.85,30.08,36.85,33.29
33.29,30.08,30.08,33.29
36.85,33.29,30.08,36.85
40.79,36.85,33.29,40.78
45.14,40.78,36.85,45.11
49.94,45.11,40.78,49.84
55.19,49.84,45.11,54.85
60.76,47.44,44.93,44.39
55.19,49.84,54.85,45.11
49.94,45.11,49.84,40.78
45.14,40.78,45.11,36.85
40.79,36.85,40.78,33.29
36.85,33.29,36.85,30.08
33.29,30.08,33.29,30.08
