Up, Down, Left, Right
-0.09,0.00,-0.09,0.00
-0.09,0.01,0.00,0.01
-0.08,0.07,0.00,0.00
-0.09,0.01,0.01,0.00
-0.09,0.00,0.00,-0.09
0.00,0.01,-0.09,0.01
0.00,0.07,0.00,0.07
0.01,0.91,0.01,0.01
0.00,0.07,0.07,0.00
0.00,0.01,0.01,-0.09
0.00,0.00,-0.08,0.07
0.01,0.01,0.01,0.91
0.00,0.00,0.00,0.00
0.01,0.01,0.91,0.01
0.00,0.00,0.07,-0.08
0.01,0.00,-0.09,0.01
0.07,0.00,0.00,0.07
0.91,0.01,0.01,0.01
0.07,0.00,0.07,0.00
0.01,0.00,0.01,-0.09
0.00,-0.09,-0.09,0.00
0.01,-0.09,0.00,0.01
0.07,-0.09,0.00,0.00
0.01,-0.09,0.01,0.00
0.00,-0.09,0.00,-0.09
